Team,2013,2014,2015
2020,Temple (AAC),1,
2020,Tennessee (SEC),3,
2020,Texas (Big 12),6,
2020,Texas A&M (SEC),8,
2020,Texas St. (Sun Belt),2,
2020,Texas Tech (Big 12),4,
2020,Toledo (MAC),4,
2020,Troy (Sun Belt),5,
2020,Tulane (AAC),6,
2020,Tulsa (AAC),6,
2020,UAB (C-USA),6,
2020,UCF (AAC),6,
2020,UCLA (Pac-12),3,
2020,ULM (Sun Belt),0,
2020,UNLV (Mountain West),0,
2020,Utah (Pac-12),3,
2020,Utah St. (Mountain West),1,
2020,UTEP (C-USA),3,
2020,UTSA (C-USA),7,
2020,Vanderbilt (SEC),0,
2020,Virginia (ACC),5,
2020,Virginia Tech (ACC),5,
2020,Wake Forest (ACC),4,
2020,Washington (Pac-12),3,
2020,Washington St. (Pac-12),1,
2020,West Virginia (Big 12),5,
2020,Western Ky. (C-USA),5,
2020,Western Mich. (MAC),4,
2020,Wisconsin (Big Ten),3,
2020,Wyoming (Mountain West),2,
2021,Air Force (Mountain West),,
2021,Akron (MAC),,
2021,Alabama (SEC),,
2021,App State (Sun Belt),,
2021,Arizona (Pac-12),,
2021,Arizona St. (Pac-12),,
2021,Arkansas (SEC),,
2021,Arkansas St. (Sun Belt),,
2021,Army West Point (FBS Independent),,
2021,Auburn (SEC),,
2021,Ball St. (MAC),,
2021,Baylor (Big 12),,
2021,Boise St. (Mountain West),,
2021,Boston College (ACC),,
2021,Bowling Green (MAC),,
2021,Buffalo (MAC),,
2021,BYU (FBS Independent),,
2021,California (Pac-12),,
2021,Central Mich. (MAC),,
2021,Charlotte (C-USA),,
2021,Cincinnati (AAC),,
2021,Clemson (ACC),,
2021,Coastal Carolina (Sun Belt),,
